epoch: 0, train_loss: 8.108148405699216, test_loss: 7.001276950446927
epoch: 1, train_loss: 6.540265077857185, test_loss: 6.422641209193638
epoch: 2, train_loss: 6.428458284731588, test_loss: 6.424288545336042
epoch: 3, train_loss: 6.42964404125781, test_loss: 6.425634792872837
epoch: 4, train_loss: 6.3077858274534035, test_loss: 5.830732686179025
epoch: 5, train_loss: 5.6315841925771615, test_loss: 5.3830888611929755
epoch: 6, train_loss: 5.343757944739929, test_loss: 5.191003507497359
epoch: 7, train_loss: 5.196041183558973, test_loss: 5.059022095738625
epoch: 8, train_loss: 5.069294382832961, test_loss: 4.951745850699289
epoch: 9, train_loss: 4.976289315954771, test_loss: 4.870582784925189
epoch: 10, train_loss: 4.901838135664741, test_loss: 4.798844425045714
epoch: 11, train_loss: 4.83811192436131, test_loss: 4.7414486067635675
epoch: 12, train_loss: 4.777383890522972, test_loss: 4.676115026279372
epoch: 13, train_loss: 4.7278921958783675, test_loss: 4.6375952642791125
epoch: 14, train_loss: 4.6846465060585425, test_loss: 4.596903090574304
epoch: 15, train_loss: 4.645156940006283, test_loss: 4.546572685241699
epoch: 16, train_loss: 4.606770928991741, test_loss: 4.516466335374481
epoch: 17, train_loss: 4.571800900815008, test_loss: 4.47263629095895
epoch: 18, train_loss: 4.540088188730061, test_loss: 4.459888672342106
epoch: 19, train_loss: 4.510956644193532, test_loss: 4.431933004028943
epoch: 20, train_loss: 4.485559845407168, test_loss: 4.419174787949543
epoch: 21, train_loss: 4.459738450956017, test_loss: 4.383230355321144
epoch: 22, train_loss: 4.43612535703646, test_loss: 4.36408501255269
epoch: 23, train_loss: 4.412990529695419, test_loss: 4.341002152890575
epoch: 24, train_loss: 4.392934095395784, test_loss: 4.333184193591682
epoch: 25, train_loss: 4.372833056635387, test_loss: 4.297590907739133
epoch: 26, train_loss: 4.353982610069641, test_loss: 4.2843741689409525
epoch: 27, train_loss: 4.334174761783068, test_loss: 4.266136169433594
epoch: 28, train_loss: 4.316052403002637, test_loss: 4.261734573208556
epoch: 29, train_loss: 4.298783013149585, test_loss: 4.2329747822819925
epoch: 30, train_loss: 4.280388224315861, test_loss: 4.207811744845643
epoch: 31, train_loss: 4.2631609827211845, test_loss: 4.203488379108663
epoch: 32, train_loss: 4.247035480473079, test_loss: 4.192704765164122
epoch: 33, train_loss: 4.231367895750487, test_loss: 4.169699192047119
epoch: 34, train_loss: 4.216522258260976, test_loss: 4.15444227140777
epoch: 35, train_loss: 4.201461223497543, test_loss: 4.159433179972123
epoch: 36, train_loss: 4.1888112050717705, test_loss: 4.135671347987895
epoch: 37, train_loss: 4.174699139540474, test_loss: 4.1217405796051025
epoch: 38, train_loss: 4.161477010364663, test_loss: 4.103373293973962
epoch: 39, train_loss: 4.14848468287313, test_loss: 4.093288397302433
epoch: 40, train_loss: 4.136787633874051, test_loss: 4.077823016108299
epoch: 41, train_loss: 4.125349484537504, test_loss: 4.074297092398819
epoch: 42, train_loss: 4.113687726943935, test_loss: 4.067359233389095
epoch: 43, train_loss: 4.1017183089965545, test_loss: 4.054722513471331
epoch: 44, train_loss: 4.092152621707872, test_loss: 4.0465445031925125
epoch: 45, train_loss: 4.0819661862790175, test_loss: 4.033548997372997
epoch: 46, train_loss: 4.071736092425593, test_loss: 4.027489379960663
epoch: 47, train_loss: 4.062859862565449, test_loss: 4.021195314368423
epoch: 48, train_loss: 4.052425722235673, test_loss: 4.007940389672104
epoch: 49, train_loss: 4.043192209313609, test_loss: 4.008618612678683
epoch: 50, train_loss: 4.035506214648144, test_loss: 3.9882789144710618
epoch: 51, train_loss: 4.026541988691422, test_loss: 3.993482813543203
epoch: 52, train_loss: 4.019104090653514, test_loss: 3.979611318938586
epoch: 53, train_loss: 4.010197285383735, test_loss: 3.9736577442714145
epoch: 54, train_loss: 4.002906413045573, test_loss: 3.9680482027482014
epoch: 55, train_loss: 3.9949705917175082, test_loss: 3.956810391679102
epoch: 56, train_loss: 3.98705280018071, test_loss: 3.949869321317089
epoch: 57, train_loss: 3.9811608005715726, test_loss: 3.9439347812107632
epoch: 58, train_loss: 3.9742582466291343, test_loss: 3.9401492342656974
epoch: 59, train_loss: 3.9675251319151994, test_loss: 3.934025020015483
epoch: 60, train_loss: 3.9614283285642924, test_loss: 3.928515439130822
epoch: 61, train_loss: 3.9545339485054978, test_loss: 3.927675947851064
epoch: 62, train_loss: 3.9493196283379737, test_loss: 3.9234224484891307
epoch: 63, train_loss: 3.942047746557938, test_loss: 3.9186634725453904
epoch: 64, train_loss: 3.9374326382949096, test_loss: 3.9133804039079316
epoch: 65, train_loss: 3.932196096642885, test_loss: 3.9094431546269632
epoch: 66, train_loss: 3.92658469606046, test_loss: 3.900784409776026
epoch: 67, train_loss: 3.921360827692586, test_loss: 3.899652383765396
epoch: 68, train_loss: 3.9157507043135795, test_loss: 3.8887353527302646
epoch: 69, train_loss: 3.9105097827431266, test_loss: 3.8937665005119477
epoch: 70, train_loss: 3.9071810016370203, test_loss: 3.8882948573754756
epoch: 71, train_loss: 3.9027160310636124, test_loss: 3.877959003253859
epoch: 72, train_loss: 3.897242878885509, test_loss: 3.8768288456663793
epoch: 73, train_loss: 3.8930883391225364, test_loss: 3.8758984147285926
epoch: 74, train_loss: 3.888840334911914, test_loss: 3.873565810067313
epoch: 75, train_loss: 3.8848660226817535, test_loss: 3.8723879882267545
epoch: 76, train_loss: 3.8821728005834792, test_loss: 3.867324313338922
epoch: 77, train_loss: 3.8776660123733415, test_loss: 3.8647968574446074
epoch: 78, train_loss: 3.8738106519188436, test_loss: 3.8614134253287804
epoch: 79, train_loss: 3.8714715665210577, test_loss: 3.856648269964724
epoch: 80, train_loss: 3.8665843784672718, test_loss: 3.8548277738142986
epoch: 81, train_loss: 3.863599204907974, test_loss: 3.8561281574015713
epoch: 82, train_loss: 3.8620552269217625, test_loss: 3.853071237096981
epoch: 83, train_loss: 3.858665142779492, test_loss: 3.8476061723670183
epoch: 84, train_loss: 3.855675547292085, test_loss: 3.846330010161108
epoch: 85, train_loss: 3.853733950403244, test_loss: 3.839509949392202
epoch: 86, train_loss: 3.8505074579601155, test_loss: 3.839423096909815
epoch: 87, train_loss: 3.8482460741047455, test_loss: 3.841188450248874
epoch: 88, train_loss: 3.845032150194356, test_loss: 3.8341371575180365
epoch: 89, train_loss: 3.844232612670968, test_loss: 3.834567371679812
epoch: 90, train_loss: 3.8406458555697305, test_loss: 3.8336591379983083
epoch: 91, train_loss: 3.8397279418578685, test_loss: 3.8367844065841363
epoch: 92, train_loss: 3.838290420222337, test_loss: 3.834138330148191
epoch: 93, train_loss: 3.836364199967897, test_loss: 3.8333862265762018
epoch: 94, train_loss: 3.835055951941204, test_loss: 3.8295057841709683
epoch: 95, train_loss: 3.8334668937482332, test_loss: 3.8323034802261664
epoch: 96, train_loss: 3.831710413882607, test_loss: 3.829693385532924
epoch: 97, train_loss: 3.8302494775785187, test_loss: 3.8291281194103006
epoch: 98, train_loss: 3.8310855182412014, test_loss: 3.8275326952642326
epoch: 99, train_loss: 3.8291678177682975, test_loss: 3.831333744282625
